"survyear","state","total_enrollment","sum_american","sum_asian","sum_hisp","sum_black","sum_white"
2004,"GEORGIA","893557","2335","40442","119506","590242","766672"
2004,"GEORGIA","1235304","2335","40442","119506","590242","766672"
2004,"GEORGIA","1270948","2335","40442","119506","590242","766672"
2004,"GEORGIA","1311126","2335","40442","119506","590242","766672"
2004,"GEORGIA","1346761","2335","40442","119506","590242","766672"
2004,"GEORGIA","1375980","2335","40442","119506","590242","766672"
2004,"GEORGIA","1401291","2335","40442","119506","590242","766672"
2004,"GEORGIA","1422941","2335","40442","119506","590242","766672"
2004,"GEORGIA","1444937","2335","40442","119506","590242","766672"
2004,"GEORGIA","1470634","2335","40442","119506","590242","766672"
2004,"GEORGIA","1495819","2335","40442","119506","590242","766672"
2004,"GEORGIA","1522424","2335","40442","119506","590242","766672"
2004,"GEORGIA","1552758","2335","40442","119506","590242","766672"
2004,"GEORGIA","1597682","2335","40442","119506","590242","766672"
2004,"GEORGIA","1628409","2335","40442","119506","590242","766672"
2004,"GEORGIA","1646010","2335","40442","119506","590242","766672"
2004,"GEORGIA","1649598","2335","40442","119506","590242","766672"
2004,"GEORGIA","1660643","2335","40442","119506","590242","766672"
2004,"GEORGIA","1666039","2335","40442","119506","590242","766672"
2004,"GEORGIA","1669156","2335","40442","119506","590242","766672"
2004,"GEORGIA","1682620","2335","40442","119506","590242","766672"
2004,"GEORGIA","1699185","2335","40442","119506","590242","766672"
2004,"GEORGIA","1717805","2335","40442","119506","590242","766672"
2004,"GEORGIA","1727085","2335","40442","119506","590242","766672"
2004,"GEORGIA",NULL,"4670","80884","239012","1180484","1533344"
2004,"GUAM",NULL,"276","692254","1242","1978","8165"
2004,"HAWAII","177448","1026","132885","8196","4412","36666"
2004,"HAWAII","179478","1026","132885","8196","4412","36666"
2004,"HAWAII","179601","1026","132885","8196","4412","36666"
2004,"HAWAII","179897","1026","132885","8196","4412","36666"
2004,"HAWAII","180196","1026","132885","8196","4412","36666"
2004,"HAWAII","180728","1026","132885","8196","4412","36666"
2004,"HAWAII","181212","1026","132885","8196","4412","36666"
2004,"HAWAII","181995","1026","132885","8196","4412","36666"
2004,"HAWAII","182384","1026","132885","8196","4412","36666"
2004,"HAWAII","182706","1026","132885","8196","4412","36666"
2004,"HAWAII","182818","1026","132885","8196","4412","36666"
2004,"HAWAII","183185","1026","132885","8196","4412","36666"
2004,"HAWAII","183609","1026","132885","8196","4412","36666"
2004,"HAWAII","183829","1026","132885","8196","4412","36666"
2004,"HAWAII","183869","1026","132885","8196","4412","36666"
2004,"HAWAII","184360","1026","132885","8196","4412","36666"
2004,"HAWAII","184546","1026","132885","8196","4412","36666"
2004,"HAWAII","184760","1026","132885","8196","4412","36666"
2004,"HAWAII","185860","1026","132885","8196","4412","36666"
2004,"HAWAII","186825","1026","132885","8196","4412","36666"
2004,"HAWAII","187104","1026","132885","8196","4412","36666"
2004,"HAWAII","187653","1026","132885","8196","4412","36666"
2004,"HAWAII","188069","1026","132885","8196","4412","36666"
2004,"HAWAII","189887","1026","132885","8196","4412","36666"
2004,"HAWAII",NULL,"2052","265770","16392","8824","73332"
2004,"IDAHO","231632","4162","3954","31784","2478","213706"
2004,"IDAHO","236774","4162","3954","31784","2478","213706"
2004,"IDAHO","240448","4162","3954","31784","2478","213706"
2004,"IDAHO","243097","4162","3954","31784","2478","213706"
2004,"IDAHO","243926","4162","3954","31784","2478","213706"
2004,"IDAHO","244403","4162","3954","31784","2478","213706"
2004,"IDAHO","244623","4162","3954","31784","2478","213706"
2004,"IDAHO","244937","4162","3954","31784","2478","213706"
2004,"IDAHO","245226","4162","3954","31784","2478","213706"
2004,"IDAHO","245252","4162","3954","31784","2478","213706"
2004,"IDAHO","248515","4162","3954","31784","2478","213706"
2004,"IDAHO","252037","4162","3954","31784","2478","213706"
2004,"IDAHO","253782","4162","3954","31784","2478","213706"
2004,"IDAHO","258314","4162","3954","31784","2478","213706"
2004,"IDAHO","262935","4162","3954","31784","2478","213706"
2004,"IDAHO","265713","4162","3954","31784","2478","213706"
